Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Order Month,Order Weekday
3,CA-2017-138688,2017-12-06,,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,December,Wednesday
80,CA-2017-127208,2017-12-06,,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,December,Wednesday
81,CA-2017-127208,2017-12-06,,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,December,Wednesday
82,CA-2015-139451,2015-12-10,,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,December,Thursday
83,CA-2015-139451,2015-12-10,,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,December,Thursday
120,CA-2017-103730,2017-12-06,,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,December,Wednesday
121,CA-2017-103730,2017-12-06,,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,December,Wednesday
122,CA-2017-103730,2017-12-06,,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,December,Wednesday
123,CA-2017-103730,2017-12-06,,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,December,Wednesday
124,CA-2017-103730,2017-12-06,,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,December,Wednesday
190,CA-2016-102281,2016-12-10,,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,December,Saturday
191,CA-2016-102281,2016-12-10,,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,December,Saturday
192,CA-2016-102281,2016-12-10,,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,East,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,51.84,December,Saturday
193,CA-2016-102281,2016-12-10,,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,December,Saturday
194,CA-2016-102281,2016-12-10,,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,East,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,December,Saturday
237,CA-2018-160514,2018-12-11,,Standard Class,DB-13120,David Bremer,Corporate,United States,Santa Clara,California,West,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,December,Tuesday
310,CA-2017-142902,2017-12-09,,Second Class,BP-11185,Ben Peterman,Corporate,United States,Arvada,Colorado,West,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.136,December,Saturday
311,CA-2017-142902,2017-12-09,,Second Class,BP-11185,Ben Peterman,Corporate,United States,Arvada,Colorado,West,FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,466.768,December,Saturday
312,CA-2017-142902,2017-12-09,,Second Class,BP-11185,Ben Peterman,Corporate,United States,Arvada,Colorado,West,FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15.232,December,Saturday
313,CA-2017-142902,2017-12-09,,Second Class,BP-11185,Ben Peterman,Corporate,United States,Arvada,Colorado,West,OFF-LA-10000634,Office Supplies,Labels,Avery 509,6.264,December,Saturday
